loan_id,business_age_years,sector,num_employees,annual_revenue_usd,loan_amount_usd,loan_term_months,interest_rate_pct,credit_score,debt_to_income_ratio,loan_purpose,state,default_flag,default_probability,decision,underwriter_brief
L00042,15,Healthcare,385,2773098.42,56415.39,12,15.35,591,0.167,Working Capital,FL,0,0.1609,Approve,"RISK SUMMARY: Approve at 16.1% default probability. Low credit score (591) materially increases default risk.

KEY SIGNALS:
- Low credit score (591) materially increases default risk.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00043,13,Technology,353,3169972.87,325895.66,60,12.41,558,0.112,Working Capital,FL,0,0.2131,Approve,"RISK SUMMARY: Approve at 21.3% default probability. Low credit score (558) materially increases default risk.

KEY SIGNALS:
- Low credit score (558) materially increases default risk.
- Employee count (353) is smaller than stronger-performing cohorts.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00044,15,Agriculture,67,505294.26,425164.96,36,6.15,756,0.128,Refinancing,GA,0,0.2259,Approve,"RISK SUMMARY: Approve at 22.6% default probability. Requested loan amount ($425,165) is large for this portfolio.

KEY SIGNALS:
- Requested loan amount ($425,165) is large for this portfolio.
- Interest rate (6.15%) is elevated, which often coincides with weaker borrower quality.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00045,13,Hospitality,17,1944510.72,219065.37,36,7.4,615,0.251,Expansion,NY,1,0.6782,Decline,"RISK SUMMARY: Decline at 67.8% default probability. State cohort (NY) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (NY) has a weaker repayment pattern in the training data.
- Credit score (615) is below the stronger-performing borrower range.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00046,20,Healthcare,127,3254028.08,254456.89,60,10.97,564,0.254,Equipment,GA,0,0.2479,Approve,"RISK SUMMARY: Approve at 24.8% default probability. Low credit score (564) materially increases default risk.

KEY SIGNALS:
- Low credit score (564) materially increases default risk.
- State cohort (GA) has a weaker repayment pattern in the training data.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00047,17,Manufacturing,324,4970732.02,276391.77,12,17.86,703,0.364,Expansion,WA,0,0.2457,Approve,"RISK SUMMARY: Approve at 24.6% default probability. Loan term (12 months) is longer than the lower-risk cohort.

KEY SIGNALS:
- Loan term (12 months) is longer than the lower-risk cohort.
- Loan purpose (Expansion) has performed worse than the portfolio average.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00048,17,Technology,200,1388656.64,22770.85,60,7.46,663,0.132,Expansion,NC,0,0.0547,Approve,"RISK SUMMARY: Approve at 5.5% default probability. Loan purpose (Expansion) has performed worse than the portfolio average.

KEY SIGNALS:
- Loan purpose (Expansion) has performed worse than the portfolio average.
- Interest rate (7.46%) is elevated, which often coincides with weaker borrower quality.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00049,19,Manufacturing,500,840142.8,131449.96,24,8.1,548,0.52,Equipment,PA,1,0.6757,Decline,"RISK SUMMARY: Decline at 67.6% default probability. Low credit score (548) materially increases default risk.

KEY SIGNALS:
- Low credit score (548) materially increases default risk.
- Debt-to-income ratio (0.52) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00050,13,Technology,480,4204150.15,424158.24,24,7.69,682,0.543,Real Estate,PA,1,0.8512,Decline,"RISK SUMMARY: Decline at 85.1% default probability. Debt-to-income ratio (0.54) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.54) is high relative to the training portfolio.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00051,23,Technology,487,2859874.26,79630.12,24,15.8,772,0.398,Equipment,OH,1,0.1567,Approve,"RISK SUMMARY: Approve at 15.7% default probability. Employee count (487) is smaller than stronger-performing cohorts.

KEY SIGNALS:
- Employee count (487) is smaller than stronger-performing cohorts.
- State cohort (OH) has a weaker repayment pattern in the training data.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00052,2,Manufacturing,310,1133104.26,267959.77,12,8.98,623,0.544,Real Estate,NY,1,0.9301,Decline,"RISK SUMMARY: Decline at 93.0% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- State cohort (NY) has a weaker repayment pattern in the training data.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00053,11,Retail,13,781174.49,355301.21,24,14.95,789,0.573,Working Capital,WA,0,0.3011,Approve,"RISK SUMMARY: Approve at 30.1% default probability. Debt-to-income ratio (0.57) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.57) is high relative to the training portfolio.
- Sector exposure (Retail) has historically produced higher defaults in this sample.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00054,22,Hospitality,302,550109.24,157864.93,24,17.67,743,0.536,Expansion,WA,0,0.3158,Approve,"RISK SUMMARY: Approve at 31.6% default probability. Debt-to-income ratio (0.54) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.54) is high relative to the training portfolio.
- Sector exposure (Hospitality) has historically produced higher defaults in this sample.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00080,1,Manufacturing,131,3061302.22,472072.43,36,10.22,712,0.568,Expansion,IL,1,0.7129,Decline,"RISK SUMMARY: Decline at 71.3% default probability. Business operating history (1 years) is limited.

KEY SIGNALS:
- Business operating history (1 years) is limited.
- Debt-to-income ratio (0.57) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00081,7,Hospitality,156,3402120.97,413912.3,48,12.39,523,0.381,Real Estate,NC,0,0.6529,Decline,"RISK SUMMARY: Decline at 65.3% default probability. Low credit score (523) materially increases default risk.

KEY SIGNALS:
- Low credit score (523) materially increases default risk.
- Business operating history (7 years) is limited.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00082,20,Technology,154,3437845.02,246051.83,36,17.84,686,0.574,Real Estate,IL,0,0.3391,Approve,"RISK SUMMARY: Approve at 33.9% default probability. Debt-to-income ratio (0.57) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.57) is high relative to the training portfolio.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00083,17,Agriculture,125,4503450.87,404660.61,60,9.96,683,0.474,Working Capital,OH,0,0.1953,Approve,"RISK SUMMARY: Approve at 19.5% default probability. State cohort (OH) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (OH) has a weaker repayment pattern in the training data.
- Requested loan amount ($404,661) is large for this portfolio.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00084,9,Hospitality,209,1971960.86,27306.31,60,15.52,695,0.5,Equipment,NC,0,0.1178,Approve,"RISK SUMMARY: Approve at 11.8% default probability. Business operating history (9 years) is limited.

KEY SIGNALS:
- Business operating history (9 years) is limited.
- Debt-to-income ratio (0.50) is high relative to the training portfolio.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00085,16,Construction,185,2561208.54,424255.43,60,6.95,569,0.359,Real Estate,NC,0,0.2556,Approve,"RISK SUMMARY: Approve at 25.6% default probability. Low credit score (569) materially increases default risk.

KEY SIGNALS:
- Low credit score (569) materially increases default risk.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00086,6,Construction,462,1711380.69,53756.91,36,7.51,677,0.331,Real Estate,WA,0,0.592,Review,"RISK SUMMARY: Review at 59.2% default probability. Business operating history (6 years) is limited.

KEY SIGNALS:
- Business operating history (6 years) is limited.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00087,10,Hospitality,437,633018.28,36301.71,60,12.33,556,0.36,Equipment,NC,1,0.3084,Approve,"RISK SUMMARY: Approve at 30.8% default probability. Low credit score (556) materially increases default risk.

KEY SIGNALS:
- Low credit score (556) materially increases default risk.
- Sector exposure (Hospitality) has historically produced higher defaults in this sample.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00088,22,Hospitality,273,1526860.98,36490.37,24,6.35,622,0.288,Refinancing,OH,0,0.4455,Review,"RISK SUMMARY: Review at 44.6% default probability. Credit score (622) is below the stronger-performing borrower range.

KEY SIGNALS:
- Credit score (622) is below the stronger-performing borrower range.
- Sector exposure (Hospitality) has historically produced higher defaults in this sample.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00089,23,Manufacturing,400,450016.76,172988.43,24,8.73,549,0.103,Real Estate,FL,0,0.2986,Approve,"RISK SUMMARY: Approve at 29.9% default probability. Low credit score (549) materially increases default risk.

KEY SIGNALS:
- Low credit score (549) materially increases default risk.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00105,2,Retail,135,3292119.17,16056.5,60,14.86,634,0.638,Real Estate,NC,0,0.4488,Review,"RISK SUMMARY: Review at 44.9% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Debt-to-income ratio (0.64) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00106,23,Healthcare,50,2192597.14,366059.46,48,9.17,717,0.182,Refinancing,PA,1,0.1248,Approve,"RISK SUMMARY: Approve at 12.5% default probability. State cohort (PA) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (PA) has a weaker repayment pattern in the training data.
- Requested loan amount ($366,059) is large for this portfolio.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00107,21,Manufacturing,260,4251785.6,427416.86,24,5.51,771,0.276,Real Estate,IL,1,0.1848,Approve,"RISK SUMMARY: Approve at 18.5% default probability. Loan purpose (Real Estate) has performed worse than the portfolio average.

KEY SIGNALS:
- Loan purpose (Real Estate) has performed worse than the portfolio average.
- Requested loan amount ($427,417) is large for this portfolio.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00108,8,Healthcare,331,1924256.08,410380.62,12,10.7,749,0.148,Expansion,OH,0,0.5767,Review,"RISK SUMMARY: Review at 57.7% default probability. Business operating history (8 years) is limited.

KEY SIGNALS:
- Business operating history (8 years) is limited.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00109,16,Construction,336,137957.19,207685.43,12,12.02,520,0.554,Refinancing,PA,1,0.8164,Decline,"RISK SUMMARY: Decline at 81.6% default probability. Low credit score (520) materially increases default risk.

KEY SIGNALS:
- Low credit score (520) materially increases default risk.
- Debt-to-income ratio (0.55) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00110,21,Technology,457,2566271.81,111357.11,48,17.33,706,0.554,Equipment,OH,0,0.261,Approve,"RISK SUMMARY: Approve at 26.1% default probability. Debt-to-income ratio (0.55) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.55) is high relative to the training portfolio.
- State cohort (OH) has a weaker repayment pattern in the training data.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00111,25,Healthcare,309,2392011.72,332011.93,48,6.04,633,0.101,Real Estate,IL,0,0.2252,Approve,"RISK SUMMARY: Approve at 22.5% default probability. Loan purpose (Real Estate) has performed worse than the portfolio average.

KEY SIGNALS:
- Loan purpose (Real Estate) has performed worse than the portfolio average.
- Interest rate (6.04%) is elevated, which often coincides with weaker borrower quality.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00112,12,Construction,56,276601.64,90436.13,24,15.59,729,0.159,Refinancing,FL,0,0.0892,Approve,"RISK SUMMARY: Approve at 8.9% default probability. Loan term (24 months) is longer than the lower-risk cohort.

KEY SIGNALS:
- Loan term (24 months) is longer than the lower-risk cohort.
- Annual revenue ($276,602) is low relative to requested credit.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00113,13,Manufacturing,236,4131543.01,103383.59,36,5.95,732,0.126,Refinancing,TX,0,0.1556,Approve,"RISK SUMMARY: Approve at 15.6% default probability. State cohort (TX) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (TX) has a weaker repayment pattern in the training data.
- Interest rate (5.95%) is elevated, which often coincides with weaker borrower quality.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00114,15,Hospitality,339,2967115.02,257056.81,48,4.56,544,0.404,Expansion,PA,0,0.8376,Decline,"RISK SUMMARY: Decline at 83.8% default probability. Low credit score (544) materially increases default risk.

KEY SIGNALS:
- Low credit score (544) materially increases default risk.
- Interest rate (4.56%) is elevated, which often coincides with weaker borrower quality.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00115,17,Agriculture,473,4555398.36,348990.68,24,14.36,585,0.157,Refinancing,PA,0,0.5103,Review,"RISK SUMMARY: Review at 51.0% default probability. Low credit score (585) materially increases default risk.

KEY SIGNALS:
- Low credit score (585) materially increases default risk.
- Employee count (473) is smaller than stronger-performing cohorts.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00116,17,Hospitality,216,4898528.76,458796.02,24,8.19,695,0.634,Expansion,NY,0,0.8083,Decline,"RISK SUMMARY: Decline at 80.8% default probability. Debt-to-income ratio (0.63) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.63) is high relative to the training portfolio.
- State cohort (NY) has a weaker repayment pattern in the training data.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00117,20,Construction,455,3754712.99,156467.44,60,16.12,631,0.21,Refinancing,IL,0,0.1017,Approve,"RISK SUMMARY: Approve at 10.2% default probability. Employee count (455) is smaller than stronger-performing cohorts.

KEY SIGNALS:
- Employee count (455) is smaller than stronger-performing cohorts.
- Credit score (631) is below the stronger-performing borrower range.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00118,22,Manufacturing,365,3267927.62,479579.96,60,11.82,685,0.491,Real Estate,NC,0,0.0934,Approve,"RISK SUMMARY: Approve at 9.3% default probability. Requested loan amount ($479,580) is large for this portfolio.

KEY SIGNALS:
- Requested loan amount ($479,580) is large for this portfolio.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00119,19,Construction,365,2116515.77,376455.67,60,8.36,736,0.545,Refinancing,TX,1,0.3238,Approve,"RISK SUMMARY: Approve at 32.4% default probability. Debt-to-income ratio (0.55) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.55) is high relative to the training portfolio.
- State cohort (TX) has a weaker repayment pattern in the training data.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00120,5,Retail,345,330193.63,140819.35,24,17.78,648,0.181,Working Capital,IL,0,0.3786,Approve,"RISK SUMMARY: Approve at 37.9% default probability. Business operating history (5 years) is limited.

KEY SIGNALS:
- Business operating history (5 years) is limited.
- Sector exposure (Retail) has historically produced higher defaults in this sample.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00121,18,Retail,185,4079429.78,60215.2,60,16.18,719,0.231,Real Estate,CA,0,0.1124,Approve,"RISK SUMMARY: Approve at 11.2% default probability. Sector exposure (Retail) has historically produced higher defaults in this sample.

KEY SIGNALS:
- Sector exposure (Retail) has historically produced higher defaults in this sample.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00122,13,Hospitality,491,3951152.07,345722.89,60,5.23,648,0.212,Expansion,FL,0,0.5109,Review,"RISK SUMMARY: Review at 51.1% default probability. Interest rate (5.23%) is elevated, which often coincides with weaker borrower quality.

KEY SIGNALS:
- Interest rate (5.23%) is elevated, which often coincides with weaker borrower quality.
- Employee count (491) is smaller than stronger-performing cohorts.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00123,23,Construction,333,1870318.55,298308.82,60,7.15,619,0.262,Equipment,TX,0,0.2505,Approve,"RISK SUMMARY: Approve at 25.1% default probability. State cohort (TX) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (TX) has a weaker repayment pattern in the training data.
- Credit score (619) is below the stronger-performing borrower range.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00124,6,Construction,265,640801.37,29910.77,36,12.01,586,0.189,Real Estate,CA,0,0.5157,Review,"RISK SUMMARY: Review at 51.6% default probability. Low credit score (586) materially increases default risk.

KEY SIGNALS:
- Low credit score (586) materially increases default risk.
- Business operating history (6 years) is limited.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00125,23,Manufacturing,22,810831.75,168088.71,12,14.94,674,0.37,Refinancing,NC,0,0.0382,Approve,"RISK SUMMARY: Approve at 3.8% default probability. Loan term (12 months) is longer than the lower-risk cohort.

KEY SIGNALS:
- Loan term (12 months) is longer than the lower-risk cohort.
- Annual revenue ($810,832) is low relative to requested credit.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00126,23,Technology,271,1138811.98,100095.86,12,15.11,601,0.329,Refinancing,GA,1,0.3571,Approve,"RISK SUMMARY: Approve at 35.7% default probability. Credit score (601) is below the stronger-performing borrower range.

KEY SIGNALS:
- Credit score (601) is below the stronger-performing borrower range.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00127,8,Manufacturing,341,1692823.4,186790.93,24,17.33,791,0.361,Refinancing,CA,1,0.1805,Approve,"RISK SUMMARY: Approve at 18.1% default probability. Business operating history (8 years) is limited.

KEY SIGNALS:
- Business operating history (8 years) is limited.
- Loan term (24 months) is longer than the lower-risk cohort.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00128,12,Hospitality,125,4527257.47,310713.54,60,7.79,540,0.475,Real Estate,GA,1,0.8014,Decline,"RISK SUMMARY: Decline at 80.1% default probability. Low credit score (540) materially increases default risk.

KEY SIGNALS:
- Low credit score (540) materially increases default risk.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00129,4,Hospitality,133,2724174.7,148586.21,60,15.6,711,0.383,Refinancing,OH,0,0.4521,Review,"RISK SUMMARY: Review at 45.2% default probability. Business operating history (4 years) is limited.

KEY SIGNALS:
- Business operating history (4 years) is limited.
- Sector exposure (Hospitality) has historically produced higher defaults in this sample.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00130,10,Construction,100,1635548.15,50349.27,12,6.76,795,0.393,Working Capital,FL,0,0.0891,Approve,"RISK SUMMARY: Approve at 8.9% default probability. Loan term (12 months) is longer than the lower-risk cohort.

KEY SIGNALS:
- Loan term (12 months) is longer than the lower-risk cohort.
- Interest rate (6.76%) is elevated, which often coincides with weaker borrower quality.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00131,25,Manufacturing,444,3442755.66,419475.89,24,11.76,742,0.456,Working Capital,NY,1,0.1355,Approve,"RISK SUMMARY: Approve at 13.6% default probability. State cohort (NY) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (NY) has a weaker repayment pattern in the training data.
- Requested loan amount ($419,476) is large for this portfolio.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00132,23,Technology,21,483228.44,36591.35,36,12.03,636,0.601,Expansion,GA,0,0.3576,Approve,"RISK SUMMARY: Approve at 35.8% default probability. Debt-to-income ratio (0.60) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.60) is high relative to the training portfolio.
- Loan purpose (Expansion) has performed worse than the portfolio average.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00133,13,Hospitality,163,133610.29,339916.38,60,4.58,552,0.516,Refinancing,CA,1,0.799,Decline,"RISK SUMMARY: Decline at 79.9% default probability. Low credit score (552) materially increases default risk.

KEY SIGNALS:
- Low credit score (552) materially increases default risk.
- Interest rate (4.58%) is elevated, which often coincides with weaker borrower quality.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00134,23,Agriculture,39,1820615.69,256390.11,36,15.12,674,0.434,Real Estate,OH,0,0.2915,Approve,"RISK SUMMARY: Approve at 29.1% default probability. Loan purpose (Real Estate) has performed worse than the portfolio average.

KEY SIGNALS:
- Loan purpose (Real Estate) has performed worse than the portfolio average.
- State cohort (OH) has a weaker repayment pattern in the training data.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00135,22,Retail,244,823801.2,117734.21,48,15.26,799,0.262,Equipment,IL,0,0.0628,Approve,"RISK SUMMARY: Approve at 6.3% default probability. Sector exposure (Retail) has historically produced higher defaults in this sample.

KEY SIGNALS:
- Sector exposure (Retail) has historically produced higher defaults in this sample.
- Annual revenue ($823,801) is low relative to requested credit.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00136,24,Construction,193,4789088.66,15463.6,60,6.41,541,0.103,Refinancing,GA,0,0.1033,Approve,"RISK SUMMARY: Approve at 10.3% default probability. Low credit score (541) materially increases default risk.

KEY SIGNALS:
- Low credit score (541) materially increases default risk.
- Interest rate (6.41%) is elevated, which often coincides with weaker borrower quality.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00137,3,Technology,109,3754068.1,452737.72,36,7.36,782,0.178,Equipment,FL,0,0.3492,Approve,"RISK SUMMARY: Approve at 34.9% default probability. Business operating history (3 years) is limited.

KEY SIGNALS:
- Business operating history (3 years) is limited.
- Requested loan amount ($452,738) is large for this portfolio.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00138,9,Manufacturing,60,947722.02,401833.43,12,15.99,756,0.455,Working Capital,IL,0,0.1848,Approve,"RISK SUMMARY: Approve at 18.5% default probability. Loan term (12 months) is longer than the lower-risk cohort.

KEY SIGNALS:
- Loan term (12 months) is longer than the lower-risk cohort.
- Business operating history (9 years) is limited.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00139,9,Retail,103,3641666.82,248723.3,36,9.32,640,0.155,Refinancing,TX,0,0.5857,Review,"RISK SUMMARY: Review at 58.6% default probability. Sector exposure (Retail) has historically produced higher defaults in this sample.

KEY SIGNALS:
- Sector exposure (Retail) has historically produced higher defaults in this sample.
- State cohort (TX) has a weaker repayment pattern in the training data.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
